,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
446,Coronation Park Chapel,North Edmonton,2,0,39,120,Belmead,1,313,-32.88349515,No
447,Coronation Park Chapel,North Edmonton,3,0,12,180,Belmead,1,161,-32.88349515,No
448,Coronation Park Chapel,North Edmonton,3,0,30,180,Belmead,1,316,-32.88349515,No
449,Coronation Park Chapel,North Edmonton,2,0,26,75,Belmead,1,187,-32.88349515,No
450,Coronation Park Chapel,North Edmonton,3,0,57,180,Belmead,1,226,-32.88349515,No
451,Coronation Park Chapel,North Edmonton,1,3,71,195,Belmead,1,343,-32.88349515,No
452,Coronation Park Chapel,North Edmonton,2,3,54,135,Belmead,1,272,-32.88349515,No
453,Coronation Park Chapel,North Edmonton,2,3,27,135,Belmead,1,298,-32.88349515,No
454,Coronation Park Chapel,North Edmonton,1,2,25,135,Belmead,1,245,-32.88349515,No
455,Coronation Park Chapel,North Edmonton,1,2,25,135,Belmead,1,239,-32.88349515,No
456,Coronation Park Chapel,North Edmonton,2,0,19,75,Belmead,1,264,-32.88349515,No
457,Coronation Park Chapel,North Edmonton,2,3,21,45,Belmead,1,289,-32.88349515,No
458,Coronation Park Chapel,North Edmonton,4,0,31,75,Belmead,1,267,-32.88349515,No
459,Coronation Park Chapel,North Edmonton,2,3,12,75,Belmead,1,200,-32.88349515,No
460,Coronation Park Chapel,North Edmonton,2,0,17,75,Belmead,1,303,-32.88349515,No
461,Coronation Park Chapel,North Edmonton,1,0,35,105,Belmead,1,288,-32.88349515,No
462,Coronation Park Chapel,North Edmonton,2,0,35,60,Belmead,1,257,-32.88349515,No
463,Coronation Park Chapel,North Edmonton,2,0,17,120,Belmead,1,186,-32.88349515,No
464,Coronation Park Chapel,North Edmonton,3,0,25,60,Belmead,1,219,-32.88349515,No
465,Coronation Park Chapel,North Edmonton,1,1,20,60,Belmead,1,280,-32.88349515,No
466,Coronation Park Chapel,North Edmonton,1,2,31,150,Belmead,1,284,-32.88349515,No
467,Coronation Park Chapel,North Edmonton,1,3,80,120,Belmead,1,296,-32.88349515,No
468,Coronation Park Chapel,North Edmonton,1,2,20,150,Belmead,1,234,-32.88349515,No
469,Coronation Park Chapel,North Edmonton,1,2,28,150,Belmead,1,264,-32.88349515,No
470,Coronation Park Chapel,North Edmonton,1,3,13,60,Belmead,1,210,-32.88349515,No
471,Coronation Park Chapel,North Edmonton,1,3,13,60,Belmead,1,289,-32.88349515,No
472,Coronation Park Chapel,North Edmonton,2,0,47,105,Belmead,1,268,-32.88349515,No
473,Coronation Park Chapel,North Edmonton,1,0,14,60,Belmead,1,254,-32.88349515,No
474,Coronation Park Chapel,North Edmonton,2,2,45,195,Belmead,1,240,-32.88349515,No
475,Coronation Park Chapel,North Edmonton,2,2,40,195,Belmead,1,288,-32.88349515,No
476,Coronation Park Chapel,North Edmonton,2,3,32,135,Belmead,1,288,-32.88349515,No
477,Coronation Park Chapel,North Edmonton,2,3,47,135,Belmead,1,213,-32.88349515,No
478,Coronation Park Chapel,North Edmonton,2,0,63,180,Belmead,1,328,-32.88349515,No
479,Coronation Park Chapel,North Edmonton,1,0,23,135,Belmead,1,281,-32.88349515,No
480,Coronation Park Chapel,North Edmonton,2,1,31,90,Belmead,1,256,-32.88349515,No
481,Coronation Park Chapel,North Edmonton,1,0,33,120,Belmead,1,297,-32.88349515,No
482,Coronation Park Chapel,North Edmonton,2,3,61,150,Belmead,1,284,-32.88349515,No
483,Coronation Park Chapel,North Edmonton,2,3,37,120,Belmead,1,275,-32.88349515,No
484,Coronation Park Chapel,North Edmonton,0,2,30,120,Belmead,1,267,-32.88349515,No
485,Coronation Park Chapel,North Edmonton,0,2,18,120,Belmead,1,275,-32.88349515,No
486,Coronation Park Chapel,North Edmonton,3,1,38,75,Belmead,1,278,-32.88349515,No
487,Coronation Park Chapel,North Edmonton,1,0,22,120,Belmead,1,237,-32.88349515,No
488,Coronation Park Chapel,North Edmonton,2,2,25,90,Belmead,1,228,-32.88349515,No
489,Coronation Park Chapel,North Edmonton,2,1,24,150,Belmead,1,216,-32.88349515,No
490,Coronation Park Chapel,North Edmonton,2,1,37,150,Belmead,1,217,-32.88349515,No
491,Coronation Park Chapel,North Edmonton,2,1,22,150,Belmead,1,234,-32.88349515,No
492,Coronation Park Chapel,North Edmonton,2,3,26,150,Belmead,1,237,-32.88349515,No
493,Coronation Park Chapel,North Edmonton,1,2,15,45,Belmead,1,153,-32.88349515,No
494,Coronation Park Chapel,North Edmonton,1,2,16,45,Belmead,1,300,-32.88349515,No
495,Coronation Park Chapel,North Edmonton,2,0,28,120,Belmead,1,273,-32.88349515,No
496,Coronation Park Chapel,North Edmonton,2,0,29,120,Belmead,1,201,-32.88349515,No
497,Coronation Park Chapel,North Edmonton,2,1,27,150,Belmead,1,255,-32.88349515,No
498,Coronation Park Chapel,North Edmonton,2,0,18,60,Belmead,1,207,-32.88349515,No
499,Coronation Park Chapel,North Edmonton,1,2,16,30,Belmead,1,201,-32.88349515,No
500,Coronation Park Chapel,North Edmonton,1,1,30,105,Belmead,1,219,-32.88349515,No
501,Coronation Park Chapel,North Edmonton,1,1,30,105,Belmead,1,154,-32.88349515,No
502,Coronation Park Chapel,North Edmonton,1,2,31,105,Belmead,1,289,-32.88349515,No
503,Coronation Park Chapel,North Edmonton,1,2,53,105,Belmead,1,320,-32.88349515,No
504,Coronation Park Chapel,North Edmonton,1,1,16,75,Belmead,1,273,-32.88349515,No
505,Coronation Park Chapel,North Edmonton,1,1,33,75,Belmead,1,293,-32.88349515,No
506,Coronation Park Chapel,North Edmonton,1,1,15,45,Belmead,1,195,-32.88349515,No
507,Coronation Park Chapel,North Edmonton,1,1,15,45,Belmead,1,155,-32.88349515,No
508,Coronation Park Chapel,North Edmonton,3,0,43,60,Belmead,1,293,-32.88349515,No
509,Coronation Park Chapel,North Edmonton,2,3,38,150,Belmead,1,305,-32.88349515,No
510,Coronation Park Chapel,North Edmonton,1,1,38,45,Belmead,1,299,-32.88349515,No
511,Coronation Park Chapel,North Edmonton,1,1,30,60,Belmead,1,273,-32.88349515,No
512,Coronation Park Chapel,North Edmonton,3,3,19,75,Belmead,1,281,-32.88349515,No
